"","time","country","reported_cases","reported_cases_cumulative","predicted_infections_mean_cumulative","predicted_infections_lower_CI_95_cumulative","predicted_infections_higher_CI_95_cumulative","predicted_infections_mean","predicted_infections_lower_CI_95","predicted_infections_higher_CI_95_cumulative","reported_deaths","reported_deaths_cumulative","estimated_deaths_mean_cumulative","estimated_deaths_lower_CI_95_cumulative","estimated_deaths_higher_CI_95_cumulative","estimated_deaths_mean","estimated_deaths_lower_CI_95","estimated_deaths_higher_CI_95","mean_time_varying_reproduction_number_R(t)","time_varying_reproduction_number_R(t)_lower_CI_95","time_varying_reproduction_number_R(t)_higher_CI_95"
"537",2020-03-05,"Norway",23,56,721.631993344974,215.714597936768,1645.8255857846,131.930100148974,49.1560120886445,261.238428844492,0,0,0.0522833284990014,0.0115821759334013,0.139561211274175,0.0210119675824588,0.00468636204756275,0.0559157436797891,3.15331288466158,2.27296444113672,4.22544975216511
"538",2020-03-06,"Norway",30,86,880.703381690088,278.874044994468,1950.34825714852,159.071388345114,63.1594470577001,304.52267136392,0,0,0.0826547583376894,0.0184636039700757,0.219689930881553,0.0303714298386879,0.00688142803667448,0.0801287196073779,3.15323993642087,2.27289473707787,4.22541144101889
"539",2020-03-07,"Norway",27,113,1072.73836489648,359.881483526789,2304.27129407588,192.034983206389,81.0074385323205,353.923036927352,0,0,0.124630311746118,0.0281505956199722,0.329345761745466,0.041975553408429,0.00968699164989642,0.109655830863913,3.15315153457263,2.27281503237145,4.22536161714751
"540",2020-03-08,"Norway",34,147,1304.81407110619,463.646577461549,2720.59378978396,232.075706209718,103.76509393476,416.322495708086,0,0,0.180961422385118,0.0414939944026807,0.474651870096966,0.0563311106389998,0.0133433987827085,0.1453061083515,3.15304427213657,2.27272387386965,4.22529682877155
"541",2020-03-09,"Norway",22,169,1585.56514330506,596.930788350954,3211.72518261504,280.751072198862,133.284210889405,491.13139283108,0,0,0.254916701819102,0.0597499400922343,0.662727035840966,0.0739552794339837,0.0182559456895536,0.188075165744,3.15291398740532,2.27261959861022,4.22521259373114
"542",2020-03-10,"Norway",23,192,1925.54529812238,767.669915442896,3793.09820485005,339.980154817321,170.739127091942,581.373022235007,0,0,0.350037865404954,0.084141908737645,0.899379350502463,0.095121163585852,0.0243919686454107,0.236652314661497,3.1527555771618,2.27250031018783,4.22510308217364
"543",2020-03-11,"Norway",85,277,2337.66826541113,983.277685218335,4489.94231528091,412.122967288755,215.60776977544,696.844110430863,0,0,0.470502825133932,0.116338513333118,1.19315974939637,0.120464959728978,0.0321966045954725,0.293780398893909,3.15256277285703,2.27236384423682,4.22496071290004
"544",2020-03-12,"Norway",212,489,2800.43492095363,1247.98664939806,5227.84426416686,462.766655542492,264.708964179725,737.901948885944,0,0,0.62144665509779,0.158818670182282,1.55299839218251,0.150943829963858,0.0424801568491649,0.359838642786141,2.94509425787734,2.01908833619182,4.08615092106006
"545",2020-03-13,"Norway",132,621,3329.52053469143,1572.30418639669,6034.77065613179,529.085613737803,324.317536998633,806.926391964937,1,1,0.808728639471238,0.214425287897219,1.98835160275225,0.187281984373447,0.0556066177149364,0.435353210569742,2.79441667699833,1.93097238263776,3.90412305500988
"546",2020-03-14,"Norway",0,621,3964.50901454487,1974.5047049581,6989.82290382266,634.988479853445,402.20051856141,955.052247690868,0,1,1.039377029683,0.286792522380189,2.50905526563712,0.230648390211761,0.0723672344829697,0.520703662884868,2.79414842445623,1.93074930767927,3.90382595803353
"547",2020-03-15,"Norway",286,907,4697.27392340005,2457.98413479599,8072.08249460663,732.764908855178,483.479429837887,1082.25959078396,0,1,1.32207072803226,0.380594826403298,3.12903574559902,0.282693698349265,0.0938023040231094,0.619980479961895,2.70713118124307,1.88542358844458,3.81801729559515
"548",2020-03-16,"Norway",170,1077,5506.25069105971,3022.63952626879,9193.77141561568,808.976767659664,564.655391472796,1121.68892100906,0,1,1.6669801895552,0.501504088353087,3.86249512134931,0.34490946152294,0.120909261949789,0.733459375750295,2.52344929702191,1.82338633615719,3.44631651647239
"549",2020-03-17,"Norway",92,1169,6459.49529954778,3699.54210650885,10502.0897325383,953.244608488063,676.902580240067,1308.31831692264,2,3,2.08596795758651,0.656889030074383,4.72492921766291,0.418987768031305,0.155384941721296,0.862434096313594,2.52307583794867,1.82311704632251,3.44589118403446
"550",2020-03-18,"Norway",139,1308,7575.31108543554,4497.59082687481,12022.2787488889,1115.81578588776,798.048720365954,1520.18901635053,0,3,2.59320185020173,0.857008294244818,5.733305267041,0.507233892615221,0.200119264170435,1.00837604937809,2.52263375626243,1.82279211875705,3.44536244969372
"551",2020-03-19,"Norway",115,1423,8877.71214597472,5415.81039351515,13797.3723440321,1302.40106053918,918.219566640339,1775.09359514328,0,3,3.20499027190742,1.11424919098083,6.90315947900746,0.611788421705695,0.257240896736017,1.16985421196646,2.52211376881663,1.82242685144424,3.44470544273364
"552",2020-03-20,"Norway",129,1552,10397.2751793977,6462.99152067004,15892.5252468455,1519.56303342301,1047.18112715489,2095.15290281332,3,6,3.93994960217789,1.44067136791184,8.26384211682999,0.734959330270465,0.326422176931008,1.36068263782254,2.52150377800434,1.82202548994375,3.4438889940776
"553",2020-03-21,"Norway",190,1742,12171.2337582092,7645.16201513493,18400.1151962869,1773.95857881148,1182.17049446489,2507.58994944147,1,7,4.81970735310968,1.85669270236868,9.8350421500781,0.879757750931791,0.416021334456838,1.57120003324811,2.5207884343055,1.82158439501444,3.4428743834535
"554",2020-03-22,"Norway",184,1926,14243.9760312387,8973.78891473426,21434.7737432769,2072.74227302949,1328.62689959934,3034.65854698998,0,7,5.86877258853994,2.38120685922811,11.6602363964524,1.04906523543026,0.524514156859425,1.82519424637427,2.51994902421343,1.82109959420954,3.44161358213979
"555",2020-03-23,"Norway",206,2132,16668.0320493962,10458.3731745983,25127.1467153952,2424.05601815747,1484.58425986407,3692.37297211833,0,7,7.11514010671524,3.04142051238927,13.7520866876669,1.2463675181753,0.660213653161168,2.0918502912145,2.51896315864526,1.82056675486036,3.44004702373437
"556",2020-03-24,"Norway",239,2371,17158.734119546,10798.8758195381,25791.782589525,490.702070149809,340.502644939736,664.63587412981,1,8,8.59122422172473,3.86648078012266,16.1518896094155,1.47608411500949,0.825060267733387,2.39980292174858,0.44474824543488,0.289783013467957,0.606296507793599
"557",2020-03-25,"Norway",195,2566,17711.5263475721,11182.767795774,26537.5503798695,552.792228026113,383.891976235951,745.767790344479,2,10,10.3342760845993,4.88973324754938,18.8753292403648,1.74305186287457,1.02325246742672,2.72343963094934,0.444707176870762,0.289761950210064,0.606238114349477
"558",2020-03-26,"Norway",350,2916,18288.2395039681,11581.655217444,27320.3011918239,576.71315639596,398.887421669954,782.750811954419,2,12,12.3861515300347,6.16005903320822,21.9612082000637,2.05187544543539,1.27032578565884,3.08587895969886,0.444660959430085,0.28973630345001,0.606171510119483
"559",2020-03-27,"Norway",240,3156,18856.5176479682,11968.9499378672,28099.9605493902,568.278144000117,387.294720423179,779.659357566298,2,14,14.7924721319399,7.71552264458854,25.4657931805893,2.4063206019052,1.55546361138032,3.50458498052559,0.444612737149659,0.289708570751415,0.606101017067708
"560",2020-03-28,"Norway",425,3581,19396.5685806924,12331.3955945982,28851.1788301449,540.050932724203,362.445656731071,751.218280754636,2,16,17.5995651070708,9.60772473017924,29.4373460145764,2.80709297513092,1.8922020855907,3.97155283398719,0.444565172817897,0.289680984197988,0.606030308920194
"561",2020-03-29,"Norway",264,3845,19898.6621668901,12660.9224010044,29559.5635724589,502.093586197713,329.526806406155,708.384742313993,4,20,20.8485479049901,11.8894612536075,33.9236861326782,3.24898279791927,2.28173652342829,4.48634011810171,0.44451989494793,0.28965495999748,0.605961648358583
